group,round,period_start,period_end,initial_asset,ending_asset,strategy_total_return,strategy_annualized_return,benchmark_total_return,benchmark_annualized_return,max_drawdown,trade_count,cash,candidate_sha256,engine_version,strategy_name
方法1,1,2025-01-01,2025-03-31,500000.0,579276.9969009514,0.15855399380190272,0.916801903500494,0.07053140726247897,0.3516385302399807,-0.12696575668429244,50,579276.9969009514,fe0340e3cc5a098e1cfda5672755f72ebfc3b1b518cefc71be5416a7856e7d74,qmt_daily_v1,broad_industry_neutral_momentum_local_v1
方法1,2,2025-04-01,2025-06-30,579276.9969009514,596828.8708743328,0.030299621886043182,0.1335661529094243,-0.020463165456103716,-0.08317332233039065,-0.05319050014508708,75,9392.314056093659,a91f2c06c3b06f9c1698cbe6b6f6fb6c59c44229d8d59ca1e4a45d6d7c9cf929,qmt_daily_v1,broad_industry_neutral_momentum_local_v1
方法1,3,2025-07-01,2025-09-30,596828.8708743328,875622.0507089919,0.4671241513940789,3.321164132197824,0.50311011809626,3.7400513643272584,-0.09257740773548029,86,875622.0507089919,73f527b0cc7896f054063d5b5ca3e659f63469d0a363257ccd76aa22eb17c11a,qmt_daily_v1,broad_industry_neutral_momentum_local_v1
方法1,4,2025-10-01,2025-12-31,875622.0507089919,1112334.9691721145,0.2703368631151488,1.7318659387098205,-0.12662172854515075,-0.4336955051610131,-0.14880007601277745,105,432416.52473739017,a9267367d033c00d5f91b6e0ccd7f53f049b5380ff6ea5c6b3f5ff4d857cbc1e,qmt_daily_v1,broad_industry_neutral_momentum_local_v1
方法1,5,2026-01-01,2026-06-30,1112334.9691721145,1720000.4776702288,0.5462972264104813,1.5776424417629107,0.5732101033273094,1.6760991474274238,-0.14562247126387184,93,1720000.4776702288,de92c99a5ed66713645c6b518b25c2fa43f4b5fd1071d22301e70ec5e569273c,qmt_daily_v1,broad_industry_neutral_momentum_local_v1
方法2,1,2025-01-01,2025-03-31,500000.0,578142.3147085034,0.15628462941700683,0.900258090761441,0.07053140726247897,0.3516385302399807,-0.12541335780583895,62,578142.3147085034,6555f671ced9b918f7b63b07b931adb9c015bf42fe6a2b38de6ea70a551d102a,qmt_daily_v1,broad_industry_neutral_momentum_local_v1
方法2,2,2025-04-01,2025-06-30,578142.3147085034,597563.1309548497,0.03359175717165441,0.14885695097008522,-0.020463165456103716,-0.08317332233039065,-0.021633882347843136,92,6632.577121485767,ff12a53cb1416e3e4062e8fc9417de72ffbcc51cd8abd1c5526e523638696469,qmt_daily_v1,broad_industry_neutral_momentum_local_v1
方法2,3,2025-07-01,2025-09-30,597563.1309548497,726046.647581377,0.21501245637632094,1.1035101253806912,0.50311011809626,3.7400513643272584,-0.07426209285354501,181,726046.647581377,d94dbe6f9b934a66194a4102705ff753c16f12a839cd487dc8015351ae6bc6e6,qmt_daily_v1,broad_industry_neutral_momentum_local_v1
方法2,4,2025-10-01,2025-12-31,726046.647581377,809639.6400073264,0.11513446512619585,0.5804268606194176,-0.12662172854515075,-0.4336955051610131,-0.0837628566748273,94,9348.630020508397,45bb8d803aa7d695b071098bdaaab768d4cdf51078dd8a6ffd5b19ad2d89c1b2,qmt_daily_v1,broad_industry_neutral_momentum_local_v1
方法2,5,2026-01-01,2026-06-30,809639.6400073264,1023890.3521031749,0.2646247805924,0.665340241882239,0.5732101033273094,1.6760991474274238,-0.24481820772028196,188,1023890.3521031749,358d03318ffcb6b4463cb924d78844b50734c588cd33de427bdb92cc598f203c,qmt_daily_v1,broad_industry_neutral_momentum_local_v1
方法3,1,2025-01-01,2025-03-31,500000.0,548146.597544031,0.09629319508806189,0.5014750616382277,0.07053140726247897,0.3516385302399807,-0.11393667769013782,47,548146.597544031,9431e131cb5fdaa03bc1a6ce9a2942d655258569feaeadc93dafb8c5d2128cc9,qmt_daily_v1,broad_industry_neutral_momentum_local_v1
方法3,2,2025-04-01,2025-06-30,548146.597544031,570548.6910121021,0.04086879963944612,0.18321362113962114,-0.020463165456103716,-0.08317332233039065,-0.05548980666059944,65,5397.564789697426,a7980e4254dabef13c85ca179c5d452b39885d25dc461ea026f826e551bf1b16,qmt_daily_v1,broad_industry_neutral_momentum_local_v1
方法3,3,2025-07-01,2025-09-30,570548.6910121021,737984.3706716269,0.293464313032616,1.671153296077064,0.50311011809626,3.7400513643272584,-0.07662274468945818,70,737984.3706716269,2b229775f6dfec15c3597215ae523e9c5bb8d1657d474b200695ca15d8887035,qmt_daily_v1,broad_industry_neutral_momentum_local_v1
方法3,4,2025-10-01,2025-12-31,737984.3706716269,870822.9550412464,0.1800018938730712,1.0040444878547894,-0.12662172854515075,-0.4336955051610131,-0.12010351404232023,62,18387.453104657732,ec17792b29c2cb74a52568fc9dc3ca0aba443d2cbaa002205da69968c4aa8763,qmt_daily_v1,broad_industry_neutral_momentum_local_v1
方法3,5,2026-01-01,2026-06-30,870822.9550412464,1114636.423585415,0.27998052547043883,0.7095824952435734,0.5732101033273094,1.6760991474274238,-0.16681781310005928,47,1114636.423585415,8f1d68dbc7ccd1f4bc3613bc89d2b9e351f595c88348ab9a9e1d6494b76f2e4b,qmt_daily_v1,broad_industry_neutral_momentum_local_v1
